ORPHA:29	MVK
ORPHA:519388	CPAMD8
ORPHA:457375	ITPA
ORPHA:572385	ROR2
ORPHA:307	EFHC1
ORPHA:307	GABRD
ORPHA:307	CLCN2
ORPHA:307	GABRA1
ORPHA:307	KCNQ3
ORPHA:307	CILK1
ORPHA:307	JRK
ORPHA:307	CACNB4
ORPHA:369992	DSP
ORPHA:369992	DSG1
ORPHA:306	SCN8A
ORPHA:306	SCN2A
ORPHA:306	PRRT2
ORPHA:306	KCNQ2
ORPHA:306	KCNQ3
ORPHA:314802	GHR
ORPHA:330054	GFER
ORPHA:97234	PGAM2
ORPHA:220407	HLA-DRB1
ORPHA:308	PRICKLE1
ORPHA:308	CSTB
ORPHA:308	SCARB2
ORPHA:220402	CCR6
ORPHA:220402	KIAA0319L
ORPHA:220402	CCN2
ORPHA:220402	IRF5
ORPHA:220402	CAV1
ORPHA:220402	HLA-DRB1
ORPHA:302	TMC6
ORPHA:302	IL7
ORPHA:302	TMC8
ORPHA:302	CIB1
ORPHA:99898	IFNGR1
ORPHA:97239	FHL1
ORPHA:444069	CENPF
ORPHA:370997	DAG1
ORPHA:97238	CAV3
ORPHA:35	PCCA
ORPHA:35	PCCB
ORPHA:178469	DPYSL2
ORPHA:178469	DLL1
ORPHA:178469	NBEA
ORPHA:178469	YWHAZ
ORPHA:178469	ARF3
ORPHA:178469	ITSN1
ORPHA:178469	CUX1
ORPHA:178469	KIRREL3
ORPHA:178469	CACNA1I
ORPHA:178469	GRIN1
ORPHA:178469	DOCK8
ORPHA:178469	HIVEP2
ORPHA:178469	EEF1A2
ORPHA:178469	CHAMP1
ORPHA:178469	GABBR1
ORPHA:178469	TAOK1
ORPHA:178469	KDM5B
ORPHA:178469	SET
ORPHA:178469	SEMA6B
ORPHA:178469	GRIN2B
ORPHA:178469	KCNQ2
ORPHA:178469	CLTC
ORPHA:178469	KCNQ5
ORPHA:178469	BRSK2
ORPHA:178469	CAMK2A
ORPHA:178469	TCF4
ORPHA:178469	PRICKLE2
ORPHA:178469	CSNK2B
ORPHA:178469	DEAF1
ORPHA:178469	EPB41L1
ORPHA:178469	MBD5
ORPHA:178469	CIC
ORPHA:178469	CTNND2
ORPHA:178469	CDH15
ORPHA:178469	DYNC1H1
ORPHA:178469	CACNG2
ORPHA:178469	GRIA1
ORPHA:178469	SCN8A
ORPHA:178469	RAB11A
ORPHA:178469	CAMK2B
ORPHA:178469	MED12L
ORPHA:178469	ERBB4
ORPHA:178469	SETD1B
ORPHA:178469	KIF1A
ORPHA:178469	TRPM3
ORPHA:178469	SLC6A1
ORPHA:178469	PPP3CA
ORPHA:178469	ASH1L
ORPHA:36	GLI3
ORPHA:36	KIF7
ORPHA:101028	TALDO1
ORPHA:444077	AFF4
ORPHA:228374	NEFL
